01302;POLLIEU;01350;;POLLIEU;45.796850297,5.7482441
26089;CHAUDEBONNE;26110;;CHAUDEBONNE;44.474916997,5.23866199
26235;PIERRELATTE;26700;;PIERRELATTE;44.360834471,4.6872527260000005
01307;PORT;01460;;PORT;46.156073474,5.57575885
26094;CLAVEYSON;26240;;CLAVEYSON;45.173018025,4.933788902
26246;PONET ET ST AUBAN;26150;;PONET ET ST AUBAN;44.778467437,5.313466041
01313;PREVESSIN MOENS;01280;;PREVESSIN MOENS;46.258394588,6.072289047
26101;COMPS;26220;;COMPS;44.552099099,5.104181652
26252;PORTES LES VALENCE;26800;;PORTES LES VALENCE;44.875590276,4.8834792060000005
01331;ST ALBAN;01450;;ST ALBAN;46.098069928,5.454852166
26114;DIEULEFIT;26220;;DIEULEFIT;44.530903236,5.065013493
26259;RATIERES;26330;;RATIERES;45.175144715,4.970854809
01338;GROSLEE ST BENOIT;01300;ST BENOIT;GROSLEE ST BENOIT;45.69767397,5.58124515
26124;ETOILE SUR RHONE;26800;;ETOILE SUR RHONE;44.831287204,4.874764086
26277;LA ROCHE SUR GRANE;26400;;LA ROCHE SUR GRANE;44.675234982,4.939585839
01352;ST ETIENNE SUR REYSSOUZE;01190;;ST ETIENNE SUR REYSSOUZE;46.403232881,5.005524226
26126;EYGALAYES;26560;;EYGALAYES;44.221810137,5.594230453
26287;ROYNAC;26450;;ROYNAC;44.648746558,4.933841676
01355;ST GENIS SUR MENTHON;01380;;ST GENIS SUR MENTHON;46.282127138,5.013710668
26129;EYMEUX;26730;;EYMEUX;45.066679994,5.18280369
26311;ST LAURENT EN ROYANS;26190;;ST LAURENT EN ROYANS;45.009924506,5.346438976
01362;ST JEAN DE THURIGNEUX;01390;;ST JEAN DE THURIGNEUX;45.959964264,4.899447068
26134;FELINES SUR RIMANDOULE;26160;;FELINES SUR RIMANDOULE;44.585420935,5.055253269
26319;ST MICHEL SUR SAVASSE;26750;;ST MICHEL SUR SAVASSE;45.146676722,5.121626914
01382;STE OLIVE;01330;;STE OLIVE;46.014041877,4.936006075
26162;LENS LESTANG;26210;;LENS LESTANG;45.296445596,5.040911444
26324;ST PAUL TROIS CHATEAUX;26130;;ST PAUL TROIS CHATEAUX;44.348362717,4.75764944
01400;SEILLONNAZ;01470;;SEILLONNAZ;45.797149229,5.497658476
26166;LORIOL SUR DROME;26270;;LORIOL SUR DROME;44.749912404,4.805783783
26341;SERVES SUR RHONE;26600;;SERVES SUR RHONE;45.141682393,4.83128456
01415;TALISSIEU;01510;;TALISSIEU;45.86344657,5.720504574
26170;MALISSARD;26120;;MALISSARD;44.901012356,4.958671397
26352;LA TOUCHE;26160;;LA TOUCHE;44.517690883,4.886728885
01439;VESINES;01570;;VESINES;46.358983391,4.862419053
26199;MONTFERRAND LA FARE;26510;;MONTFERRAND LA FARE;44.342279454,5.449951443
26360;VALAURIE;26230;;VALAURIE;44.420693219,4.810659398
01450;VILLIEU LOYES MOLLON;01800;MOLLON;VILLIEU LOYES MOLLON;45.932316137,5.229523775
26202;MONTJOUX;26220;;MONTJOUX;44.489473933,5.1033387
26374;VILLEBOIS LES PINS;05700;;VILLEBOIS LES PINS;44.319894409,5.597360114
01454;VIRIGNIN;01300;;VIRIGNIN;45.726775376,5.713059123
26208;MONTOISON;26800;;MONTOISON;44.797481632,4.930443744
27032;CHAMBOIS;27240;THOMER LA SOGNE;CHAMBOIS;48.903700929,1.150740819
02002;ACHERY;02800;;ACHERY;49.694004156,3.397491579
26211;MONTSEGUR SUR LAUZON;26130;;MONTSEGUR SUR LAUZON;44.367787841,4.857559771
27045;BAZINCOURT SUR EPTE;27140;;BAZINCOURT SUR EPTE;49.325664964,1.758152871
02020;ANY MARTIN RIEUX;02500;;ANY MARTIN RIEUX;49.881643579,4.223934549
26214;MORNANS;26460;;MORNANS;44.621209405,5.133479681
27048;BEAUFICEL EN LYONS;27480;;BEAUFICEL EN LYONS;49.40462201,1.5246064860000001
02029;ATTILLY;02490;;ATTILLY;49.855348527,3.15428951
26216;ST JEAN DE GALAURE;26240;MUREILS;ST JEAN DE GALAURE;45.199048283,4.900813422
27049;MESNIL EN OUCHE;27410;AJOU;MESNIL EN OUCHE;48.984169237,0.663553111
02043;BAGNEUX;02290;;BAGNEUX;49.459937203,3.279039827
26224;OURCHES;26120;;OURCHES;44.806417523,5.046262908
27049;MESNIL EN OUCHE;27410;JONQUERETS DE LIVET;MESNIL EN OUCHE;48.984169237,0.663553111
02054;BAZOCHES ET ST THIBAUT;02220;ST THIBAUT;BAZOCHES ET ST THIBAUT;49.30645766,3.615341588
26238;LES PILLES;26110;;LES PILLES;44.377931434,5.199316975
27052;LE BEC HELLOUIN;27800;;LE BEC HELLOUIN;49.224984607,0.7263594830000001
02063;BELLENGLISE;02420;;BELLENGLISE;49.925986684,3.244543321
26261;REAUVILLE;26230;;REAUVILLE;44.451891585,4.839027935
27066;BEZU LA FORET;27480;;BEZU LA FORET;49.395528951,1.624694826
02073;BERRY AU BAC;02190;;BERRY AU BAC;49.408645633,3.899004938
26268;ROCHEBAUDIN;26160;;ROCHEBAUDIN;44.575162488,5.030710176
27072;BOIS JEROME ST OUEN;27620;;BOIS JEROME ST OUEN;49.103431019,1.547700003
02078;BESME;02300;;BESME;49.534048357,3.163311485
26281;ROMANS SUR ISERE;26100;;ROMANS SUR ISERE;45.054841799,5.038195502
27081;BONCOURT;27120;;BONCOURT;49.020916802,1.29714744
02086;BICHANCOURT;02300;;BICHANCOURT;49.57913903,3.212643827
26286;ROUSSIEUX;26510;;ROUSSIEUX;44.331901916,5.478820178
27089;THENOUVILLE;27290;TOUVILLE SUR MONTFORT;THENOUVILLE;49.294797225,0.779810035
02096;BOIS LES PARGNY;02270;;BOIS LES PARGNY;49.737172274,3.654174783
26293;ST AVIT;26330;;ST AVIT;45.198998582,4.964669864
27094;BOSQUENTIN;27480;;BOSQUENTIN;49.413177769,1.588352055
02105;BOURESCHES;02400;;BOURESCHES;49.067056293,3.316703204
26299;STE CROIX;26150;;STE CROIX;44.771387561,5.287867133
27096;LES BOTTEREAUX;27250;;LES BOTTEREAUX;48.8713079,0.676368454
02125;BRUMETZ;02810;;BRUMETZ;49.110351585,3.153350725
26312;ST MARCEL LES SAUZET;26740;;ST MARCEL LES SAUZET;44.601033843,4.804865874
27099;LE BOULAY MORIN;27930;;LE BOULAY MORIN;49.07596372,1.187330431
02131;BUCY LE LONG;02880;;BUCY LE LONG;49.387973822,3.398519722
26329;ST SAUVEUR GOUVERNET;26110;;ST SAUVEUR GOUVERNET;44.330389437,5.376554226
27102;BOUQUETOT;27310;;BOUQUETOT;49.360938843,0.7695946480000001
02140;CAMELIN;02300;LOMBRAY;CAMELIN;49.52049848,3.127624347
